Compound,Date,Negative,Neutral,Positive,Source,Tweet,Tweets Ago
0.0,Mon Mar 19 21:06:52 +0000 2018,1.0,0.0,0.0,@BBCNews,Cambridge Analytica: Warrant sought to inspect company https://t.co/WB0gogrQSd,60
-0.5994,Mon Mar 19 20:54:22 +0000 2018,0.642,0.358,0.0,@BBCNews,Mariam Moustafa death in Nottingham 'not hate-related' https://t.co/pPkXcCED0K,61
0.4215,Mon Mar 19 20:13:55 +0000 2018,0.714,0.0,0.286,@BBCNews,Child rescued from car in Cardigan river https://t.co/hAUQ4bxN8C,62
-0.7579,Mon Mar 19 19:49:36 +0000 2018,0.519,0.481,0.0,@BBCNews,St Leonards shooting: Man charged with double murder https://t.co/TgTYbx5vfv,63
-0.1027,Mon Mar 19 18:15:53 +0000 2018,0.833,0.167,0.0,@BBCNews,Channel 4 has gender pay gap of 24.2% https://t.co/sWB4acJtew,64
0.0,Mon Mar 19 18:03:28 +0000 2018,1.0,0.0,0.0,@BBCNews,Parsons Green: Bomber's foster mother felt 'betrayed' https://t.co/VXpAteAdH6,65
0.0,Mon Mar 19 18:03:08 +0000 2018,1.0,0.0,0.0,@BBCNews,RT @bbcweather: Temperatures will be on the rise over the next few days... Jo https://t.co/VQtCCxR568,66
0.0,Mon Mar 19 16:37:10 +0000 2018,1.0,0.0,0.0,@BBCNews,Ant McPartlin 'goes back into treatment' https://t.co/cJ0D46L549,67
0.0,Mon Mar 19 16:37:10 +0000 2018,1.0,0.0,0.0,@BBCNews,Macular degeneration: 'I've been given my sight back' https://t.co/y2JFzDojO8,68
0.5859,Mon Mar 19 16:24:25 +0000 2018,0.636,0.095,0.268,@BBCNews,"RT @BBCWorld: ""Russia's response has demonstrated a disregard for international peace and security"" - @NATO Secretary General Jens Stoltenb…",69
0.5984,Mon Mar 19 16:14:12 +0000 2018,0.786,0.0,0.214,@BBCNews,"""It feels like a miracle.""

Woman diagnosed with MS says she is completely well after ""game changing"" stem cell tre… https://t.co/ECNN8L87vE",70
-0.6369,Mon Mar 19 15:49:32 +0000 2018,0.634,0.366,0.0,@BBCNews,Nikolai Glushkov: Police say no forced entry at Russian's home https://t.co/ZpeHC0sSBl,71
-0.6597,Mon Mar 19 15:49:32 +0000 2018,0.645,0.355,0.0,@BBCNews,Sophie Lionnet trial: Burned nanny 'murdered by employers' https://t.co/Y8f32z8JYk,72
0.836,Mon Mar 19 15:35:08 +0000 2018,0.603,0.0,0.397,@BBCNews,"A teacher from London has won a competition to find the world’s best teacher

https://t.co/PPwpBlCzSs https://t.co/YqEpHaKtkT",73
0.0,Mon Mar 19 15:18:50 +0000 2018,1.0,0.0,0.0,@BBCNews,Senior Labour officials quit ahead of new general secretary https://t.co/MpHuRj2JFD,74
-0.1531,Mon Mar 19 14:24:10 +0000 2018,0.583,0.233,0.183,@BBCNews,Carpetright and Mothercare shares dive on trading worries https://t.co/PQZLxiLCan,75
